Fund ID,Fund Long Name,Effective Date,Level,Beginning Market Value,Ending Market Value,Net Cash Flow,1 Month
ASRSA001,TOTAL PLAN,07-31-75,TOTAL - Net Mgr,0.00,0.00,,-1.41000
ASRSA001,TOTAL PLAN,08-31-75,TOTAL - Net Mgr,0.00,0.00,,-1.41000
ASRSA001,TOTAL PLAN,09-30-75,TOTAL - Net Mgr,0.00,0.00,,-1.41000
ASRSA001,TOTAL PLAN,10-31-75,TOTAL - Net Mgr,0.00,0.00,,2.16000
ASRSA001,TOTAL PLAN,11-30-75,TOTAL - Net Mgr,0.00,0.00,,2.16000
ASRSA001,TOTAL PLAN,12-31-75,TOTAL - Net Mgr,0.00,0.00,,2.16000
ASRSA001,TOTAL PLAN,01-31-76,TOTAL - Net Mgr,0.00,0.00,,1.96000
ASRSA001,TOTAL PLAN,02-29-76,TOTAL - Net Mgr,0.00,0.00,,1.96000
ASRSA001,TOTAL PLAN,03-31-76,TOTAL - Net Mgr,0.00,0.00,,1.96000
ASRSA001,TOTAL PLAN,04-30-76,TOTAL - Net Mgr,0.00,0.00,,0.76000
ASRSA001,TOTAL PLAN,05-31-76,TOTAL - Net Mgr,0.00,0.00,,0.76000
ASRSA001,TOTAL PLAN,06-30-76,TOTAL - Net Mgr,0.00,0.00,,0.76000
ASRSA001,TOTAL PLAN,07-31-76,TOTAL - Net Mgr,0.00,0.00,,1.00000
ASRSA001,TOTAL PLAN,08-31-76,TOTAL - Net Mgr,0.00,0.00,,1.00000
ASRSA001,TOTAL PLAN,09-30-76,TOTAL - Net Mgr,0.00,0.00,,1.00000
ASRSA001,TOTAL PLAN,10-31-76,TOTAL - Net Mgr,0.00,0.00,,1.54000
ASRSA001,TOTAL PLAN,11-30-76,TOTAL - Net Mgr,0.00,0.00,,1.54000
ASRSA001,TOTAL PLAN,12-31-76,TOTAL - Net Mgr,0.00,0.00,,1.54000
ASRSA001,TOTAL PLAN,01-31-77,TOTAL - Net Mgr,0.00,0.00,,-0.88000
ASRSA001,TOTAL PLAN,02-28-77,TOTAL - Net Mgr,0.00,0.00,,-0.88000
ASRSA001,TOTAL PLAN,03-31-77,TOTAL - Net Mgr,0.00,0.00,,-0.88000
ASRSA001,TOTAL PLAN,04-30-77,TOTAL - Net Mgr,0.00,0.00,,1.17000
ASRSA001,TOTAL PLAN,05-31-77,TOTAL - Net Mgr,0.00,0.00,,1.17000
ASRSA001,TOTAL PLAN,06-30-77,TOTAL - Net Mgr,0.00,0.00,,1.17000
ASRSA001,TOTAL PLAN,07-31-77,TOTAL - Net Mgr,0.00,0.00,,-0.23000
ASRSA001,TOTAL PLAN,08-31-77,TOTAL - Net Mgr,0.00,0.00,,-0.23000
ASRSA001,TOTAL PLAN,09-30-77,TOTAL - Net Mgr,0.00,0.00,,-0.23000
ASRSA001,TOTAL PLAN,10-31-77,TOTAL - Net Mgr,0.00,0.00,,0.09000
ASRSA001,TOTAL PLAN,11-30-77,TOTAL - Net Mgr,0.00,0.00,,0.09000
ASRSA001,TOTAL PLAN,12-31-77,TOTAL - Net Mgr,0.00,0.00,,0.09000
ASRSA001,TOTAL PLAN,01-31-78,TOTAL - Net Mgr,0.00,0.00,,-0.45000
ASRSA001,TOTAL PLAN,02-28-78,TOTAL - Net Mgr,0.00,0.00,,-0.45000
ASRSA001,TOTAL PLAN,03-31-78,TOTAL - Net Mgr,0.00,0.00,,-0.45000
ASRSA001,TOTAL PLAN,04-30-78,TOTAL - Net Mgr,0.00,0.00,,0.98000
ASRSA001,TOTAL PLAN,05-31-78,TOTAL - Net Mgr,0.00,0.00,,0.98000
ASRSA001,TOTAL PLAN,06-30-78,TOTAL - Net Mgr,0.00,0.00,,0.98000
ASRSA001,TOTAL PLAN,07-31-78,TOTAL - Net Mgr,0.00,0.00,,1.16000
ASRSA001,TOTAL PLAN,08-31-78,TOTAL - Net Mgr,0.00,0.00,,1.16000
ASRSA001,TOTAL PLAN,09-30-78,TOTAL - Net Mgr,0.00,0.00,,1.16000
ASRSA001,TOTAL PLAN,10-31-78,TOTAL - Net Mgr,0.00,0.00,,-0.59000
ASRSA001,TOTAL PLAN,11-30-78,TOTAL - Net Mgr,0.00,0.00,,-0.59000
ASRSA001,TOTAL PLAN,12-31-78,TOTAL - Net Mgr,0.00,0.00,,-0.59000
ASRSA001,TOTAL PLAN,01-31-79,TOTAL - Net Mgr,0.00,0.00,,1.14000
ASRSA001,TOTAL PLAN,02-28-79,TOTAL - Net Mgr,0.00,0.00,,1.14000
ASRSA001,TOTAL PLAN,03-31-79,TOTAL - Net Mgr,0.00,0.00,,1.14000
ASRSA001,TOTAL PLAN,04-30-79,TOTAL - Net Mgr,0.00,0.00,,1.07000
ASRSA001,TOTAL PLAN,05-31-79,TOTAL - Net Mgr,0.00,0.00,,1.07000
ASRSA001,TOTAL PLAN,06-30-79,TOTAL - Net Mgr,0.00,0.00,,1.07000
ASRSA001,TOTAL PLAN,07-31-79,TOTAL - Net Mgr,0.00,0.00,,0.77000
ASRSA001,TOTAL PLAN,08-31-79,TOTAL - Net Mgr,0.00,0.00,,0.77000
ASRSA001,TOTAL PLAN,09-30-79,TOTAL - Net Mgr,0.00,0.00,,0.77000
ASRSA001,TOTAL PLAN,10-31-79,TOTAL - Net Mgr,0.00,0.00,,-0.07000
ASRSA001,TOTAL PLAN,11-30-79,TOTAL - Net Mgr,0.00,0.00,,-0.07000
ASRSA001,TOTAL PLAN,12-31-79,TOTAL - Net Mgr,0.00,0.00,,-0.07000
ASRSA001,TOTAL PLAN,01-31-80,TOTAL - Net Mgr,0.00,0.00,,-1.92000
ASRSA001,TOTAL PLAN,02-29-80,TOTAL - Net Mgr,0.00,0.00,,-1.92000
ASRSA001,TOTAL PLAN,03-31-80,TOTAL - Net Mgr,0.00,0.00,,-1.92000
ASRSA001,TOTAL PLAN,04-30-80,TOTAL - Net Mgr,0.00,0.00,,4.38000
ASRSA001,TOTAL PLAN,05-31-80,TOTAL - Net Mgr,0.00,0.00,,4.38000
ASRSA001,TOTAL PLAN,06-30-80,TOTAL - Net Mgr,0.00,0.00,,4.38000
ASRSA001,TOTAL PLAN,07-31-80,TOTAL - Net Mgr,0.00,0.00,,-0.17000
ASRSA001,TOTAL PLAN,08-31-80,TOTAL - Net Mgr,0.00,0.00,,-0.17000
ASRSA001,TOTAL PLAN,09-30-80,TOTAL - Net Mgr,0.00,0.00,,-0.17000
ASRSA001,TOTAL PLAN,10-31-80,TOTAL - Net Mgr,0.00,0.00,,1.46000
ASRSA001,TOTAL PLAN,11-30-80,TOTAL - Net Mgr,0.00,0.00,,1.46000
ASRSA001,TOTAL PLAN,12-31-80,TOTAL - Net Mgr,0.00,0.00,,1.46000
ASRSA001,TOTAL PLAN,01-31-81,TOTAL - Net Mgr,0.00,0.00,,0.37000
ASRSA001,TOTAL PLAN,02-28-81,TOTAL - Net Mgr,0.00,0.00,,0.37000
ASRSA001,TOTAL PLAN,03-31-81,TOTAL - Net Mgr,0.00,0.00,,0.37000
ASRSA001,TOTAL PLAN,04-30-81,TOTAL - Net Mgr,0.00,0.00,,-0.03000
ASRSA001,TOTAL PLAN,05-31-81,TOTAL - Net Mgr,0.00,0.00,,-0.03000
ASRSA001,TOTAL PLAN,06-30-81,TOTAL - Net Mgr,0.00,0.00,,-0.03000
ASRSA001,TOTAL PLAN,07-31-81,TOTAL - Net Mgr,0.00,0.00,,-2.27000
ASRSA001,TOTAL PLAN,08-31-81,TOTAL - Net Mgr,0.00,0.00,,-2.27000
ASRSA001,TOTAL PLAN,09-30-81,TOTAL - Net Mgr,0.00,0.00,,-2.27000
ASRSA001,TOTAL PLAN,10-31-81,TOTAL - Net Mgr,0.00,0.00,,2.53000
ASRSA001,TOTAL PLAN,11-30-81,TOTAL - Net Mgr,0.00,0.00,,2.53000
ASRSA001,TOTAL PLAN,12-31-81,TOTAL - Net Mgr,0.00,0.00,,2.53000
ASRSA001,TOTAL PLAN,01-31-82,TOTAL - Net Mgr,0.00,0.00,,-0.08000
ASRSA001,TOTAL PLAN,02-28-82,TOTAL - Net Mgr,0.00,0.00,,-0.08000
ASRSA001,TOTAL PLAN,03-31-82,TOTAL - Net Mgr,0.00,0.00,,-0.08000
ASRSA001,TOTAL PLAN,04-30-82,TOTAL - Net Mgr,0.00,0.00,,0.66000
ASRSA001,TOTAL PLAN,05-31-82,TOTAL - Net Mgr,0.00,0.00,,0.66000
ASRSA001,TOTAL PLAN,06-30-82,TOTAL - Net Mgr,0.00,0.00,,0.66000
ASRSA001,TOTAL PLAN,07-31-82,TOTAL - Net Mgr,0.00,0.00,,3.60000
ASRSA001,TOTAL PLAN,08-31-82,TOTAL - Net Mgr,0.00,0.00,,3.60000
ASRSA001,TOTAL PLAN,09-30-82,TOTAL - Net Mgr,0.00,0.00,,3.60000
ASRSA001,TOTAL PLAN,10-31-82,TOTAL - Net Mgr,0.00,0.00,,3.67000
ASRSA001,TOTAL PLAN,11-30-82,TOTAL - Net Mgr,0.00,0.00,,3.67000
ASRSA001,TOTAL PLAN,12-31-82,TOTAL - Net Mgr,0.00,0.00,,3.67000
ASRSA001,TOTAL PLAN,01-31-83,TOTAL - Net Mgr,0.00,0.00,,2.10000
ASRSA001,TOTAL PLAN,02-28-83,TOTAL - Net Mgr,0.00,0.00,,2.10000
ASRSA001,TOTAL PLAN,03-31-83,TOTAL - Net Mgr,0.00,0.00,,2.10000
ASRSA001,TOTAL PLAN,04-30-83,TOTAL - Net Mgr,0.00,0.00,,2.05000
ASRSA001,TOTAL PLAN,05-31-83,TOTAL - Net Mgr,0.00,0.00,,2.05000
ASRSA001,TOTAL PLAN,06-30-83,TOTAL - Net Mgr,0.00,0.00,,2.05000
ASRSA001,TOTAL PLAN,07-31-83,TOTAL - Net Mgr,0.00,0.00,,-0.18000
ASRSA001,TOTAL PLAN,08-31-83,TOTAL - Net Mgr,0.00,0.00,,-0.18000
ASRSA001,TOTAL PLAN,09-30-83,TOTAL - Net Mgr,0.00,0.00,,-0.18000
ASRSA001,TOTAL PLAN,10-31-83,TOTAL - Net Mgr,0.00,0.00,,0.25000
ASRSA001,TOTAL PLAN,11-30-83,TOTAL - Net Mgr,0.00,0.00,,0.25000
ASRSA001,TOTAL PLAN,12-31-83,TOTAL - Net Mgr,0.00,0.00,,0.25000
ASRSA001,TOTAL PLAN,01-31-84,TOTAL - Net Mgr,0.00,0.00,,-0.88000
ASRSA001,TOTAL PLAN,02-29-84,TOTAL - Net Mgr,0.00,0.00,,-0.88000
ASRSA001,TOTAL PLAN,03-31-84,TOTAL - Net Mgr,0.00,0.00,,-0.88000
ASRSA001,TOTAL PLAN,04-30-84,TOTAL - Net Mgr,0.00,0.00,,-0.96000
ASRSA001,TOTAL PLAN,05-31-84,TOTAL - Net Mgr,0.00,0.00,,-0.96000
ASRSA001,TOTAL PLAN,06-30-84,TOTAL - Net Mgr,0.00,0.00,,-0.96000
ASRSA001,TOTAL PLAN,07-31-84,TOTAL - Net Mgr,0.00,0.00,,3.13000
ASRSA001,TOTAL PLAN,08-31-84,TOTAL - Net Mgr,0.00,0.00,,3.13000
ASRSA001,TOTAL PLAN,09-30-84,TOTAL - Net Mgr,0.00,0.00,,3.13000
ASRSA001,TOTAL PLAN,10-31-84,TOTAL - Net Mgr,0.00,0.00,,1.90000
ASRSA001,TOTAL PLAN,11-30-84,TOTAL - Net Mgr,0.00,0.00,,1.90000
ASRSA001,TOTAL PLAN,12-31-84,TOTAL - Net Mgr,0.00,0.00,,1.90000
